dataset,student,method,regime,balanced_accuracy_percent,split_sd_percentage_points,accuracy_percent,macro_f1,log_loss
breast_cancer,logistic,bootstrap,augment,96.17924528301887,2.2564277880157424,96.73659673659674,0.9647524033368509,0.10445605594900638
breast_cancer,logistic,bootstrap,synthetic_only,96.08665269042628,2.2284023999790845,96.62004662004661,0.9635180652475143,0.10930174656921209
breast_cancer,logistic,copula,augment,96.9199860237596,2.4864337806354992,97.66899766899768,0.9745740962409467,0.10076250236100248
breast_cancer,logistic,copula,synthetic_only,95.50489168413696,2.9220491609809867,96.62004662004661,0.9628643987648918,0.11189725032552529
breast_cancer,logistic,ctgan,augment,95.4769392033543,2.106103235257844,96.5034965034965,0.9617961690154382,0.11050011455494269
breast_cancer,logistic,ctgan,synthetic_only,88.95352900069881,4.098051027891579,90.32634032634031,0.8942086357291054,0.28993682893561395
breast_cancer,logistic,ctgan_one_mode,augment,93.62683438155136,1.430414392467155,94.98834498834499,0.945079183209336,0.1574794321907301
breast_cancer,logistic,ctgan_one_mode,synthetic_only,76.30328441649196,5.5128130435991025,77.73892773892773,0.7476088027612923,0.4755890402535064
breast_cancer,logistic,ctgan_unpacked,augment,96.77148846960168,2.2618993093998068,97.31934731934732,0.9709671589172663,0.10692099489941627
breast_cancer,logistic,ctgan_unpacked,synthetic_only,90.96086652690425,1.5025606134961595,91.95804195804196,0.9130969939504485,0.1840254982349104
breast_cancer,logistic,ddpm,augment,97.55765199161426,1.679407546135094,97.9020979020979,0.977346284332131,0.11798440451441157
breast_cancer,logistic,ddpm,synthetic_only,96.35394828791055,1.3762261783460163,96.38694638694639,0.9615188965970219,0.15296406750321984
breast_cancer,logistic,ddpm_standardized,augment,96.68763102725366,1.3059888046303794,96.96969696969697,0.9674389238862459,0.11039603562505541
breast_cancer,logistic,ddpm_standardized,synthetic_only,94.11425576519918,3.084411608445191,94.05594405594405,0.9370875273583844,0.16379966993382164
breast_cancer,logistic,ddpm_unconditional,augment,85.5712788259958,1.657452808942046,89.16083916083917,0.8745890226806979,0.3965214225174873
breast_cancer,logistic,ddpm_unconditional,synthetic_only,50.8298392732355,1.7130055023046344,62.354312354312356,0.43391423772555915,0.6608443293390024
breast_cancer,logistic,mixture_support,augment,96.89203354297695,2.458674656515029,97.55244755244755,0.9733593146164381,0.0988640818431219
breast_cancer,logistic,mixture_support,synthetic_only,95.42103424178897,2.4798850011217364,96.27039627039628,0.9594007256048881,0.11500695637124592
breast_cancer,logistic,mixture_uniform,augment,96.26310272536686,2.557249212193425,97.08624708624708,0.9681865790544987,0.11197366383022012
breast_cancer,logistic,mixture_uniform,synthetic_only,94.47763801537387,2.479885001121727,95.57109557109557,0.951579200051618,0.13610677145847316
breast_cancer,logistic,mixture_utility,augment,96.23515024458422,2.4020227388639515,96.96969696969697,0.9670445282174405,0.10406822205380324
breast_cancer,logistic,mixture_utility,synthetic_only,95.89273235499651,2.102796518391849,96.62004662004661,0.9632986062502132,0.1167119499297592
breast_cancer,logistic,mixture_utility_support,augment,96.52166317260657,2.183027820323668,97.08624708624708,0.9684047795198313,0.10450859394848233
breast_cancer,logistic,mixture_utility_support,synthetic_only,95.80013976240393,2.3043955479364144,96.5034965034965,0.9619682052002859,0.11732845956117828
breast_cancer,logistic,real_only,real_only,96.79944095038434,1.8157585173017865,97.43589743589743,0.9722003300849155,0.1012033284192505
breast_cancer,logistic,smote,augment,96.86408106219426,2.0913482111885653,97.43589743589745,0.9722325527901282,0.10021494033009681
breast_cancer,logistic,smote,synthetic_only,95.64290705800141,1.8504116401664332,96.38694638694639,0.9607865377932642,0.1060238285473542
breast_cancer,logistic,tvae,augment,95.28301886792453,2.4959918028911225,96.5034965034965,0.9615447803942666,0.12715992352927
breast_cancer,logistic,tvae,synthetic_only,92.01781970649895,2.5158269982109647,93.93939393939394,0.9326394158833063,0.1667603191653988
breast_cancer,mlp,bootstrap,augment,96.20195667365478,1.6437949071880116,96.56177156177156,0.9631144882716517,0.21177160594128042
breast_cancer,mlp,bootstrap,synthetic_only,95.5861285814116,1.914873246757809,95.74592074592076,0.9547890472441347,0.23300369979139943
breast_cancer,mlp,copula,augment,96.61425576519916,2.28633659639562,97.2027972027972,0.9696791466635842,0.18964461030327928
breast_cancer,mlp,copula,synthetic_only,95.47606568832985,3.644141260716607,96.09557109557109,0.9577019229765543,0.20437844109643852
breast_cancer,mlp,ctgan,augment,96.38277428371768,0.991391835372781,96.91142191142191,0.9666647956964621,0.15756467798844945
breast_cancer,mlp,ctgan,synthetic_only,89.30817610062893,3.4602747260975306,89.91841491841491,0.8924191701310816,0.7009904488834255
breast_cancer,mlp,ctgan_one_mode,augment,96.36443046820405,1.366674763975539,96.96969696969697,0.9672616454803342,0.1576351871175868
breast_cancer,mlp,ctgan_one_mode,synthetic_only,74.12997903563941,5.131653576573382,74.06759906759906,0.7122240992777259,1.3882306833099605
breast_cancer,mlp,ctgan_unpacked,augment,96.64133473095737,1.4432670330263455,96.91142191142191,0.966940439880133,0.1795182147754432
breast_cancer,mlp,ctgan_unpacked,synthetic_only,90.59835779175401,3.598811192001101,90.85081585081586,0.9032898582986538,0.3963779495651529
breast_cancer,mlp,ddpm,augment,96.19671558350804,1.7011603620781535,96.27039627039628,0.9603664019656423,0.18097665167829735
breast_cancer,mlp,ddpm,synthetic_only,94.9834032145353,2.0798814627394813,94.58041958041959,0.9431132831492498,0.22554607795664058
breast_cancer,mlp,ddpm_standardized,augment,95.7058001397624,2.893070288186568,95.57109557109557,0.953474512971316,0.18969471268167737
breast_cancer,mlp,ddpm_standardized,synthetic_only,94.20597484276728,2.975336687034734,93.76456876456876,0.9347682992706009,0.2851748043891101
breast_cancer,mlp,ddpm_unconditional,augment,87.34626135569532,2.1375462381165886,90.0932400932401,0.8880389908009795,0.2879517610672914
breast_cancer,mlp,ddpm_unconditional,synthetic_only,46.69287211740041,4.512835032902647,51.57342657342657,0.4599255835547116,1.069834956715665
breast_cancer,mlp,mixture_support,augment,96.21593291404614,1.8922603771178061,96.62004662004662,0.9635789708106116,0.18533504828636224
breast_cancer,mlp,mixture_support,synthetic_only,95.00349406009784,1.6571220057431824,95.33799533799532,0.9500592775193896,0.23907881360438465
breast_cancer,mlp,mixture_uniform,augment,95.36512928022361,1.3222054456967398,96.03729603729603,0.9571218900422909,0.199378430024116
breast_cancer,mlp,mixture_uniform,synthetic_only,93.25995807127883,2.6250066841211264,93.99766899766901,0.9350922215577983,0.3106483087166989
breast_cancer,mlp,mixture_utility,augment,95.77131376659679,1.3801202903535588,95.97902097902097,0.9571148430947773,0.1654940278776686
breast_cancer,mlp,mixture_utility,synthetic_only,95.43850454227814,2.514967475421755,95.8041958041958,0.9549680305365372,0.17495375145516023
breast_cancer,mlp,mixture_utility_support,augment,96.07704402515724,0.7694011375626051,96.44522144522143,0.9617866980001407,0.2213541077702286
breast_cancer,mlp,mixture_utility_support,synthetic_only,94.67505241090147,1.9725081424500384,95.04662004662005,0.9468281412281617,0.2701642616596877
breast_cancer,mlp,real_only,real_only,96.30852550663872,1.5546908649807907,96.73659673659674,0.9648743835175875,0.2050947755426689
breast_cancer,mlp,smote,augment,95.64203354297693,2.0229589594294466,95.97902097902099,0.9570022988019365,0.2155877809418418
breast_cancer,mlp,smote,synthetic_only,96.03511530398322,2.6403171808549875,96.27039627039628,0.9601231971303216,0.2101465885548556
breast_cancer,mlp,tvae,augment,94.9074074074074,1.3495281312478984,95.74592074592073,0.9538164673045563,0.23198995146547727
breast_cancer,mlp,tvae,synthetic_only,92.03092243186583,2.937728039586274,93.58974358974358,0.9294181075340592,0.4367516479342941
wine,logistic,bootstrap,augment,98.76543209876543,1.069167165165972,98.51851851851853,0.9864823348694317,0.09452895764360132
wine,logistic,bootstrap,synthetic_only,98.76543209876543,1.069167165165972,98.51851851851853,0.9864823348694317,0.0948363296598942
wine,logistic,copula,augment,98.76543209876543,1.069167165165972,98.51851851851853,0.9864823348694317,0.09225716158050186
wine,logistic,copula,synthetic_only,98.76543209876543,1.069167165165972,98.51851851851853,0.9864823348694317,0.1042695939178019
wine,logistic,ctgan,augment,95.77160493827162,3.593658362979498,95.18518518518519,0.9546511525055495,0.17852585144393462
