dataset,split_seed,generation_seed,student,student_seed,method,regime,selected_by_development,balanced_accuracy,accuracy,macro_f1,log_loss
wine,17,101,mlp,7,real_only,real_only,False,1.0,1.0,1.0,0.003487730231386859
wine,17,101,mlp,11,real_only,real_only,False,1.0,1.0,1.0,0.008155229852033269
wine,17,101,logistic,,real_only,real_only,False,1.0,1.0,1.0,0.04952527609014924
wine,17,101,mlp,7,bootstrap,synthetic_only,False,1.0,1.0,1.0,0.00413206696010625
wine,17,101,mlp,11,bootstrap,synthetic_only,False,1.0,1.0,1.0,0.009692535962831273
wine,17,101,logistic,,bootstrap,synthetic_only,False,1.0,1.0,1.0,0.05248749149073451
wine,17,101,mlp,7,bootstrap,augment,False,1.0,1.0,1.0,0.003087620061312477
wine,17,101,mlp,11,bootstrap,augment,False,1.0,1.0,1.0,0.008081022167772236
wine,17,101,logistic,,bootstrap,augment,False,1.0,1.0,1.0,0.05056664042517856
wine,17,101,mlp,7,smote,synthetic_only,False,1.0,1.0,1.0,0.002226140656250093
wine,17,101,mlp,11,smote,synthetic_only,False,1.0,1.0,1.0,0.0063834046829644815
wine,17,101,logistic,,smote,synthetic_only,False,1.0,1.0,1.0,0.044347645541396884
wine,17,101,mlp,7,smote,augment,False,1.0,1.0,1.0,0.0025872202230070723
wine,17,101,mlp,11,smote,augment,False,1.0,1.0,1.0,0.007540115693408827
wine,17,101,logistic,,smote,augment,False,1.0,1.0,1.0,0.047013658888146105
wine,17,101,mlp,7,copula,synthetic_only,False,1.0,1.0,1.0,0.0053484192302507925
wine,17,101,mlp,11,copula,synthetic_only,False,1.0,1.0,1.0,0.012809716028181409
wine,17,101,logistic,,copula,synthetic_only,False,1.0,1.0,1.0,0.05198020577555155
wine,17,101,mlp,7,copula,augment,False,1.0,1.0,1.0,0.008538850989189032
wine,17,101,mlp,11,copula,augment,False,0.9777777777777779,0.9777777777777777,0.9794967381174278,0.02157574978549523
wine,17,101,logistic,,copula,augment,False,1.0,1.0,1.0,0.04900705484851597
wine,17,101,mlp,7,ctgan,synthetic_only,False,0.9629629629629629,0.9555555555555556,0.9595588235294118,0.28751954753651804
wine,17,101,mlp,11,ctgan,synthetic_only,False,0.9166666666666666,0.9111111111111111,0.9159885297992716,0.3006868056033273
wine,17,101,logistic,,ctgan,synthetic_only,False,0.9814814814814815,0.9777777777777777,0.9797235023041475,0.17557624485179688
wine,17,101,mlp,7,ctgan,augment,False,0.9814814814814815,0.9777777777777777,0.9797235023041475,0.09006876472281525
wine,17,101,mlp,11,ctgan,augment,False,0.9814814814814815,0.9777777777777777,0.9797235023041475,0.13649198723608447
wine,17,101,logistic,,ctgan,augment,False,0.9814814814814815,0.9777777777777777,0.9797235023041475,0.12143563559276613
wine,17,101,mlp,7,tvae,synthetic_only,False,0.9259259259259259,0.9111111111111111,0.9191176470588235,0.17243748781157545
wine,17,101,mlp,11,tvae,synthetic_only,False,0.9537037037037037,0.9555555555555556,0.95623603968625,0.0948827247287978
wine,17,101,logistic,,tvae,synthetic_only,False,0.9814814814814815,0.9777777777777777,0.9797235023041475,0.11688369780171647
wine,17,101,mlp,7,tvae,augment,False,0.9814814814814815,0.9777777777777777,0.9797235023041475,0.05973968223308145
wine,17,101,mlp,11,tvae,augment,False,1.0,1.0,1.0,0.02077419628241278
wine,17,101,logistic,,tvae,augment,False,1.0,1.0,1.0,0.062465222393924255
